fecha,url_autor,tiempo_lectura,titulo,subtitulo,aplausos,respuestas,url leer mas
24/06/2020,https://medium.com/@sharmarajdaksh,8 min read,Github OAuth with Go,Because do you really need to implement your own authentication service?,181,0 responses,https://medium.com/swlh/github-oauth-with-go-94b323d5f7bb?source=collection_archive---------11-----------------------
24/06/2020,https://medium.com/@jackbustertann,5 min read,Building an Automated Data Pipeline using the Strava API,-,67,0 responses,https://medium.com/swlh/building-an-automated-data-pipeline-using-the-strava-api-30b0ef0fb42f?source=collection_archive---------12-----------------------
24/06/2020,https://medium.com/@jrodthoughts,3 min read,Learning by Forgetting: Deep Neural Networks and the Jennifer Aniston Neuron,DeepMind’s research shows…,177,1 response,https://medium.com/swlh/learning-by-forgetting-deep-neural-networks-and-the-jennifer-aniston-neuron-eaa596e999ba?source=collection_archive---------13-----------------------
24/06/2020,https://medium.com/@asad_mumtaz,10 min read,How to Quantify Risk and Creditworthiness,"What is a Risk Score, Credit Score, and Credit Rating and…",77,0 responses,https://medium.com/swlh/how-to-quantify-risk-and-creditworthiness-c76725bc2380?source=collection_archive---------14-----------------------
24/06/2020,https://medium.com/@sibeeshvenu,6 min read,"Create Microsoft Teams App Using Vuejs, Azure, JavaScript…",Let’s develop something for Microsoft Teams,71,0 responses,https://medium.com/swlh/create-microsoft-teams-app-using-vuejs-azure-javascript-sdk-b26766b0935e?source=collection_archive---------15-----------------------
24/06/2020,https://medium.com/@r1ckr,6 min read,Fluentd — Splitting Logs,-,61,0 responses,https://medium.com/swlh/fluentd-splitting-logs-2a778cd6bdfa?source=collection_archive---------16-----------------------
24/06/2020,https://medium.com/@schh,4 min read,Mounting your Object Storage Bucket as a File System on your ECS Instance,-,56,0 responses,https://medium.com/swlh/mounting-your-object-storage-bucket-as-a-file-system-on-your-ecs-instance-a878380a3c21?source=collection_archive---------17-----------------------
24/06/2020,https://medium.com/@kinzarazakhan,5 min read,A beginner’s guide to Streamlit,-,186,0 responses,https://medium.com/swlh/a-beginners-guide-to-streamlit-5e0a4e711968?source=collection_archive---------18-----------------------
24/06/2020,https://medium.com/@ranjan.das,15 min read,How does Internet work ??,-,102,0 responses,https://medium.com/swlh/how-does-internet-work-e18b09151c5c?source=collection_archive---------19-----------------------
24/06/2020,https://medium.com/@pearvc,7 min read,Behind the Scenes of Disruptive Companies,In the Weeds,135,0 responses,https://medium.com/swlh/behind-the-scenes-of-disruptive-companies-dfe58e5c1242?source=collection_archive---------20-----------------------
24/06/2020,https://medium.com/@tobiasuhlig,16 min read,How to create a webworkers driven multithreading App — Part 2,-,199,0 responses,https://medium.com/swlh/how-to-create-a-webworkers-driven-multithreading-app-part-2-3c5b3c2d1adb?source=collection_archive---------21-----------------------
24/06/2020,https://medium.com/@agarwalnitesh,2 min read,Creating a go plugin in Kong.,Kong 2.0 supports go based custom plugins along with the Lua plugins…,134,0 responses,https://medium.com/swlh/creating-a-go-plugin-in-kong-e54a1315faaa?source=collection_archive---------22-----------------------
24/06/2020,https://medium.com/@ttul008,5 min read,5 (and a half) Javascript Readability tips,-,72,1 response,https://medium.com/swlh/5-and-a-half-javascript-readability-tips-ad6e610a4d43?source=collection_archive---------23-----------------------
24/06/2020,https://medium.com/@dhilipsesh,7 min read,Let’s design together with Clean Architecture in Android,Let’s brainstorm and design together a system…,214,0 responses,https://medium.com/swlh/design-together-clean-architecture-android-77624cf5d385?source=collection_archive---------24-----------------------
24/06/2020,https://medium.com/@charlesprado,6 min read,Dynamic Themes in iOS Apps,How to create apps that implements more than just light / dark themes.,243,0 responses,https://medium.com/swlh/dynamic-themes-in-ios-apps-eec69965c0ef?source=collection_archive---------25-----------------------
24/06/2020,https://medium.com/@tonikoraza,7 min read,Leaders: Genghis Khan Will Help You Get Ahead in Life and Business,Your circumstances don’t have to…,251,1 response,https://medium.com/swlh/leaders-genghis-khan-will-help-you-get-ahead-in-life-and-business-b18f49cea579?source=collection_archive---------26-----------------------
24/06/2020,https://medium.com/@BrownianaMed,5 min read,An Inclusive Universe,-,114,0 responses,https://medium.com/swlh/an-inclusive-universe-2e4d1ff6b521?source=collection_archive---------27-----------------------
24/06/2020,https://medium.com/@russellweigandt,6 min read,Why We Need to Kill the Feedback Sandwich,4 reasons it doesn’t work and 7 tips that do,150,1 response,https://medium.com/swlh/why-we-need-to-kill-the-feedback-sandwich-d85e6a951939?source=collection_archive---------28-----------------------
24/06/2020,https://medium.com/@uba-media,5 min read,How Scott “7 Figure Surfer” Smith Overcame Life’s Biggest Obstacles and Started an Online Business Focused On His…,-,386,0 responses,https://medium.com/swlh/how-scott-7-figure-surfer-smith-overcame-lifes-biggest-obstacles-and-started-an-online-business-8f50d17f1300?source=collection_archive---------29-----------------------
24/06/2020,https://medium.com/@fleksy,5 min read,Behind the scenes: How do fonts influence the way you type?,-,158,0 responses,https://medium.com/swlh/how-do-fonts-influence-the-way-you-type-77deeec8d49e?source=collection_archive---------30-----------------------
24/06/2020,https://medium.com/@harri_thomas,11 min read,How Research Can Drive Predictable Innovation in Early Stage Companies,Using theory and insight to…,68,0 responses,https://medium.com/swlh/how-research-can-drive-predictable-innovation-in-early-stage-companies-bc539e72a5e2?source=collection_archive---------31-----------------------
24/06/2020,https://medium.com/@CaffeineDose,4 min read,All you need to know about Graphic Design,Graphic design explained,57,0 responses,https://medium.com/swlh/all-you-need-to-know-about-graphic-design-ca3c89459697?source=collection_archive---------32-----------------------
24/06/2020,https://medium.com/@hudsonmendes,7 min read,What exactly is a Deep Learning Model?,-,65,0 responses,https://medium.com/swlh/what-exactly-is-a-deep-learning-model-be8cf39934ec?source=collection_archive---------33-----------------------
24/06/2020,https://medium.com/@miquido,6 min read,We know what you like! Perks of recommendation systems in business,Learn about different types of…,111,0 responses,https://medium.com/swlh/we-know-what-you-like-perks-of-recommendation-systems-in-business-5f227bb6d09?source=collection_archive---------34-----------------------
24/06/2020,https://medium.com/@yuhaocooper,7 min read,Step-by-step guide to building a web scraper with Selenium,A step-by-step guide…,57,0 responses,https://medium.com/swlh/step-by-step-guide-to-building-a-web-scraper-with-selenium-c9770b5704c?source=collection_archive---------35-----------------------
24/06/2020,https://medium.com/@darlingventures,5 min read,Going to Market With Your Startup in Today’s Climate,-,59,0 responses,https://medium.com/swlh/going-to-market-with-your-startup-in-todays-climate-9dfb985a230d?source=collection_archive---------36-----------------------
24/06/2020,https://medium.com/@Godofjs,5 min read,Introduction to vuex (part one),-,53,0 responses,https://medium.com/swlh/introduction-to-vuex-part-one-f0b6153a90d9?source=collection_archive---------37-----------------------
24/06/2020,https://medium.com/@aakarr.me,3 min read,Basic Git Commands you need to Master,-,138,1 response,https://medium.com/swlh/basic-git-commands-you-need-to-master-811a47a9cd05?source=collection_archive---------38-----------------------
24/06/2020,https://medium.com/@Bhargavi30,5 min read,Harness the Power of Location,-,94,0 responses,https://medium.com/swlh/harness-the-power-of-location-160caa7140ec?source=collection_archive---------39-----------------------
24/06/2020,https://medium.com/@sushmithap3,4 min read,Enter the world of Data,Start on a journey of envisaging EP.2,32,0 responses,https://medium.com/swlh/enter-the-world-of-data-9cf925748908?source=collection_archive---------40-----------------------
24/06/2020,https://medium.com/@JoryMacKay,14 min read,5 Ways to Design a Powerful User Offboarding Process for Your Churned Customers,Every lost customer is…,75,0 responses,https://medium.com/swlh/5-ways-to-design-a-powerful-user-offboarding-process-for-your-churned-customers-f5203f97a4e2?source=collection_archive---------41-----------------------
24/06/2020,https://medium.com/@n.aaron.na,4 min read,Build your own Data Science RSS feed,100% free and personalized by you,53,0 responses,https://medium.com/swlh/build-your-own-data-science-rss-feed-3734f2fdc107?source=collection_archive---------42-----------------------
24/06/2020,https://medium.com/@essharmav,4 min read,Launching our Django app after installation!,Django Unchained,50,0 responses,https://medium.com/swlh/launching-our-django-site-after-installation-9adecd6b65b2?source=collection_archive---------43-----------------------
24/06/2020,https://medium.com/@olaonikoyi,12 min read,Rethinking Venture Capitalism,-,55,0 responses,https://medium.com/swlh/rethinking-venture-capitalism-2d1e1cd5b303?source=collection_archive---------44-----------------------
24/06/2020,https://medium.com/@osusarak,3 min read,My Thoughts About Gatsby,-,158,1 response,https://medium.com/swlh/my-thoughts-about-gatsby-2d0867efd454?source=collection_archive---------45-----------------------
24/06/2020,https://medium.com/@ryanfan,4 min read,Why I Syndicate My Writing For Free,More exposure is more exposure — and it doesn’t hurt.,901,6 responses,https://medium.com/swlh/why-i-syndicate-my-writing-for-free-56f4f21ce98e?source=collection_archive---------46-----------------------
24/06/2020,https://medium.com/@mayraboppre,4 min read,Managing a New Team? 3 Effective Ways to Build Meaningful Relationships,-,161,2 responses,https://medium.com/swlh/managing-a-new-team-3-effective-ways-to-build-meaningful-relationships-fe10eb88ed8c?source=collection_archive---------47-----------------------
24/06/2020,https://medium.com/@jaysondemers,4 min read,What’s More Important: the CEO or the Idea?,-,60,1 response,https://medium.com/swlh/whats-more-important-the-ceo-or-the-idea-e63cee95dd38?source=collection_archive---------48-----------------------
24/06/2020,https://medium.com/@codydebos,5 min read,3D-printed rocket startup Relativity Space expands to second launch facility,It can now launch its…,107,0 responses,https://medium.com/swlh/3d-printed-rocket-startup-relativity-space-expands-to-second-launch-facility-1108ab274bb8?source=collection_archive---------49-----------------------
24/06/2020,https://medium.com/@kavikumaran,5 min read,An Intuitive Approach towards Understanding A/B Testing-I,-,52,0 responses,https://medium.com/swlh/an-intuitive-approach-towards-understanding-a-b-testing-i-71571c5da7a1?source=collection_archive---------50-----------------------
24/06/2020,https://medium.com/@pwross,7 min read,Don’t Get Defensive Over Abrupt Feedback,Seek it out instead,418,3 responses,https://medium.com/swlh/dont-get-defensive-over-abrupt-feedback-7c8cad48fd6b?source=collection_archive---------51-----------------------
24/06/2020,https://medium.com/@saluja.navneet2002,5 min read,How to publish your Node.js Application to Microsoft Azure,-,56,0 responses,https://medium.com/swlh/how-to-publish-your-node-js-application-to-microsoft-azure-8cc3e960755?source=collection_archive---------52-----------------------
24/06/2020,https://medium.com/@weissbro,5 min read,Why TikTok Will Be The First Social Platform To Succeed Since Snapchat,TikTok is not a fad and here…,257,0 responses,https://medium.com/swlh/why-tiktok-will-be-the-first-social-platform-to-succeed-since-snapchat-884ead708797?source=collection_archive---------53-----------------------
24/06/2020,https://medium.com/@radnaventures,11 min read,Creating Music by Machine Learning,-,56,0 responses,https://medium.com/swlh/creating-music-by-machine-learning-4a1837c345af?source=collection_archive---------54-----------------------
24/06/2020,https://medium.com/@sophiasunwoo,4 min read,The 3 Most Attractive Traits Customers Find In Startups,How to win that date with your most coveted…,68,0 responses,https://medium.com/swlh/the-3-most-attractive-traits-customers-find-in-startups-a80463842c91?source=collection_archive---------55-----------------------
24/06/2020,https://medium.com/@kunawriter,8 min read,Let Writing Be Your Suit of Armor,Don’t let the world steal your creativity.,187,0 responses,https://medium.com/swlh/let-writing-be-your-suit-of-armor-24754bdc688d?source=collection_archive---------56-----------------------
24/06/2020,https://medium.com/@dkannapan,4 min read,I Will Never Use Any Social Media Owned by Facebook,I still have plenty of other choices for my online…,57,0 responses,https://medium.com/swlh/i-will-never-use-any-social-media-owned-by-facebook-6e00ecde22df?source=collection_archive---------57-----------------------
24/06/2020,https://medium.com/@tiffanyjverbeck,4 min read,Why Diversity Initiatives Fail,My experience on a diversity task force taught me a few troubling…,55,0 responses,https://medium.com/swlh/why-diversity-initiatives-fail-54658dbf58?source=collection_archive---------58-----------------------
24/06/2020,https://medium.com/@iris.bro,6 min read,5 Soft Skills Every Product Owner Should Have,What makes a good product owner aside from hard skills?,61,0 responses,https://medium.com/swlh/5-soft-skills-every-product-owner-should-have-abbe4617354?source=collection_archive---------59-----------------------
24/06/2020,https://medium.com/@eszterbrh,5 min read,Is the Market Ready for Your Business Idea?,An ultimate guide on Concept Testing,328,1 response,https://medium.com/swlh/is-the-market-ready-for-your-business-idea-8b6e06aa026?source=collection_archive---------60-----------------------
24/06/2020,https://medium.com/@expmag,6 min read,Health-tracking implants can create bionic cows. Are humans next?,"Meet the ‘grinders,’ who embed tech…",101,0 responses,https://medium.com/swlh/health-tracking-implants-can-create-bionic-cows-are-humans-next-21bd5de70669?source=collection_archive---------61-----------------------
24/06/2020,https://medium.com/@expmag,6 min read,We tried to eat a holiday dinner together on Zoom. It did not go well.,Maybe the imperfection is the…,50,0 responses,https://medium.com/swlh/we-tried-to-eat-a-holiday-dinner-together-on-zoom-it-did-not-go-well-1cdfc19eb9a?source=collection_archive---------62-----------------------
24/06/2020,https://medium.com/@ryhowe,6 min read,A Short Introduction to Numerical Linear Algebra — Part 2,-,115,0 responses,https://medium.com/swlh/a-short-introduction-to-numerical-linear-algebra-part-2-ce201d0dd0ec?source=collection_archive---------63-----------------------
24/06/2020,https://medium.com/@boglesby_2508,5 min read,Calculating the Size of an Apache Geode Region,-,80,0 responses,https://medium.com/swlh/calculating-the-size-of-an-apache-geode-region-5ffb3b141464?source=collection_archive---------64-----------------------
24/06/2020,https://medium.com/@rahulrastogi1104,3 min read,Naive Bayes & its Mathematical Implementation,-,51,0 responses,https://medium.com/swlh/naive-bayes-its-mathematical-implementation-12f80319c333?source=collection_archive---------65-----------------------
24/06/2020,https://medium.com/@GrrlScientist,6 min read,Australia’s Night Parrots Can’t See At Night,A critically endangered nocturnal parrot that lives in…,107,0 responses,https://medium.com/swlh/australias-night-parrots-can-t-see-at-night-a9361437cfa8?source=collection_archive---------66-----------------------
24/06/2020,https://medium.com/@thatsaltilife,4 min read,Why I DGAF about “Diversity of Thought”,-,102,2 responses,https://medium.com/swlh/why-i-dgaf-about-diversity-of-thought-4104f28d2573?source=collection_archive---------67-----------------------
24/06/2020,https://medium.com/@premstroke95,5 min read,3 Misconceptions About Data Science,DATA SCIENCE MISCONCEPTIONS,71,0 responses,https://medium.com/swlh/3-common-lies-about-data-science-9af1f0c47049?source=collection_archive---------68-----------------------
24/06/2020,https://medium.com/@trejonstallsworth,2 min read,Big O Time Complexity,-,103,0 responses,https://medium.com/swlh/big-o-time-complexity-470433ddf460?source=collection_archive---------69-----------------------
24/06/2020,https://medium.com/@galuhalifani,8 min read,Can Introverts Thrive in Business? 5 Tips for Survival and Success for Introverts in Business,-,140,0 responses,https://medium.com/swlh/can-introverts-thrive-in-business-5-tips-for-survival-and-success-6355a929f30b?source=collection_archive---------70-----------------------
24/06/2020,https://medium.com/@joelengardio,6 min read,The Little Park That Could Do More,-,53,0 responses,https://medium.com/swlh/the-little-park-that-could-do-more-13cb97406b5d?source=collection_archive---------71-----------------------
24/06/2020,https://medium.com/@dedehenley,5 min read,Make Black Lives Matter In Your Workplace,Seeing your prejudices and bringing your privilege out into…,52,0 responses,https://medium.com/swlh/make-black-lives-matter-in-your-workplace-ecbce9ed8b12?source=collection_archive---------72-----------------------
24/06/2020,https://medium.com/@asteph210,3 min read,3 Unusual Ways to Design Yourself a Practical and Welcoming Home Office,BUILD A CAREER FROM HOME,50,0 responses,https://medium.com/swlh/three-unusual-ways-to-design-yourself-a-practical-and-welcoming-home-office-25f2aeeff67c?source=collection_archive---------73-----------------------
24/06/2020,https://medium.com/@cindyscheung,6 min read,Tailoring: Resume Writing’s Annoying Little Sibling,Commentary,51,0 responses,https://medium.com/swlh/tailoring-resume-writings-annoying-little-sibling-da8b8b89f92f?source=collection_archive---------74-----------------------
24/06/2020,https://medium.com/@hellojenny,4 min read,Promoting Your Event in NYC? Use EDA to Find Out Top 5 High-Traffic Subway Stations,-,494,0 responses,https://medium.com/swlh/optimizing-event-signups-targeting-nyc-subway-stations-378ca70efaf4?source=collection_archive---------75-----------------------
24/06/2020,https://medium.com/@leixxxli,5 min read,Distributed LOF: Density-Sensitive Anomaly Detection With MapReduce,-,102,0 responses,https://medium.com/swlh/distributed-lof-density-sensitive-anomaly-detection-with-mapreduce-6a34c176b90?source=collection_archive---------76-----------------------
24/06/2020,https://medium.com/@bwitter770,4 min read,Predictable Internet Speeds in NYC,-,50,0 responses,https://medium.com/swlh/predictable-internet-speeds-in-nyc-8c669ac590bf?source=collection_archive---------77-----------------------
15/07/2020,https://medium.com/@thatsean,5 min read,Remote Work Won’t Last,Working from home has an Achilles heel that no one is talking about,3.7K,75 responses,https://medium.com/swlh/remote-work-wont-last-e6fd9b82eb7f?source=collection_archive---------0-----------------------
15/07/2020,https://medium.com/@pkgamma,7 min read,My Minimalist Digital Workspace,See the beautiful yet powerful apps I use in my everyday workflows. I…,2.9K,16 responses,https://medium.com/swlh/my-digital-workspace-1790a0b0420c?source=collection_archive---------1-----------------------
15/07/2020,https://medium.com/@craig_robinson,12 min read,Guide: OKD 4.5 Single Node Cluster,-,104,7 responses,https://medium.com/swlh/guide-okd-4-5-single-node-cluster-832693cb752b?source=collection_archive---------2-----------------------
15/07/2020,https://medium.com/@erik-engheim,7 min read,Is It Game Over for the x86 ISA and Intel?,Ever since Apple announced they are switching to their own…,362,6 responses,https://medium.com/swlh/is-it-game-over-for-the-x86-isa-and-intel-5ce1b00fbd1?source=collection_archive---------3-----------------------
15/07/2020,https://medium.com/@korzhs,7 min read,.NET vs Java: Which Platform Is Better for Your Software Developer Career?,-,676,1 response,https://medium.com/swlh/net-vs-java-which-platform-is-better-for-your-software-developer-career-625f06be20ec?source=collection_archive---------4-----------------------
15/07/2020,https://medium.com/@pr2tik1,4 min read,How to Create Github Profile-README,Explore new ways of showing your GitHub resume as a developer or…,284,4 responses,https://medium.com/swlh/explore-new-github-readme-feature-7d5cc21bf02f?source=collection_archive---------5-----------------------
15/07/2020,https://medium.com/@lrgordian,5 min read,Getting Started With Caching in .NET Core,-,424,3 responses,https://medium.com/swlh/getting-started-with-caching-in-net-core-3079cab69efb?source=collection_archive---------6-----------------------
15/07/2020,https://medium.com/@nrabulinski,4 min read,Function Overloading in Rust,Why you shouldn’t even think about doing it,69,2 responses,https://medium.com/swlh/function-overloading-in-rust-d591aff64a03?source=collection_archive---------7-----------------------
15/07/2020,https://medium.com/@ishan02016,7 min read,Latest CSS Features You Might Haven’t Used Yet,-,181,2 responses,https://medium.com/swlh/latest-css-features-you-might-havent-used-yet-3af8227a67f3?source=collection_archive---------8-----------------------
15/07/2020,https://medium.com/@neemz,9 min read,Running Town Hall Meetings as a Shared and Engaging Experience,Internal communication strategy,59,0 responses,https://medium.com/swlh/running-town-hall-meetings-as-a-shared-and-engaging-experience-f6ff87a1d308?source=collection_archive---------9-----------------------
15/07/2020,https://medium.com/@mehrdadep,5 min read,Build Your First REST API in Rust Language Using Actix Framework,-,103,0 responses,https://medium.com/swlh/build-your-first-rest-api-using-rust-language-and-actix-framework-8f827175b30f?source=collection_archive---------10-----------------------
15/07/2020,https://medium.com/@webbmedia,6 min read,How (And Why) to Budget Now for Strategic Foresight in 2021,-,263,0 responses,https://medium.com/swlh/how-and-why-to-budget-now-for-strategic-foresight-in-2021-2a5f5d4c3d76?source=collection_archive---------11-----------------------
15/07/2020,https://medium.com/@sheinix,8 min read,A Comprehensive View on Cardano,-,179,0 responses,https://medium.com/swlh/a-comprehensive-view-on-cardano-819a222aa12f?source=collection_archive---------12-----------------------
15/07/2020,https://medium.com/@paulhanke93,8 min read,The Podcasting Endgame: A Paradigm Shift for the Audio-Industry,-,130,0 responses,https://medium.com/swlh/the-podcasting-endgame-a-paradigm-shift-for-the-audio-industry-cee5ca874514?source=collection_archive---------13-----------------------
15/07/2020,https://medium.com/@anirban.malick_71287,8 min read,Histogram of Oriented Gradients (HOG) for Multiclass Image Classification and Image Recommendation,-,71,0 responses,https://medium.com/swlh/histogram-of-oriented-gradients-hog-for-multiclass-image-classification-and-image-recommendation-cf0ea2caaae8?source=collection_archive---------14-----------------------
15/07/2020,https://medium.com/@yairreem,10 min read,Five Steps to Nail Your Pitch Deck — Part II,What you need to know to score a second meeting,99,0 responses,https://medium.com/swlh/five-steps-to-nail-your-pitch-deck-part-ii-5484d005b870?source=collection_archive---------15-----------------------
15/07/2020,https://medium.com/@lightphos,5 min read,"Observability With Istio, Kiali, and Grafana in Kubernetes and Spring Boot",-,70,0 responses,https://medium.com/swlh/observability-with-istio-kiali-and-grafana-in-kubernetes-and-spring-boot-743af225c24f?source=collection_archive---------16-----------------------
15/07/2020,https://medium.com/@chandraseta,6 min read,The One Tool That Every Machine Learning Engineer Should Master,Data Scientist’s Toolbox,200,0 responses,https://medium.com/swlh/the-one-tool-that-every-machine-learning-engineer-should-master-68aecd920b0?source=collection_archive---------17-----------------------
15/07/2020,https://medium.com/@eweren,4 min read,Want a More Usable Angular Library?,Try this and your teammates will enjoy using your angular library.,109,0 responses,https://medium.com/swlh/want-a-more-usable-angular-library-c6466ae5ef8c?source=collection_archive---------18-----------------------
15/07/2020,https://medium.com/@siddharth01,9 min read,Introduction to GIT,Comprehensive introduction to the most popular version control system,139,2 responses,https://medium.com/swlh/introduction-to-git-d5e17392bdd1?source=collection_archive---------19-----------------------
15/07/2020,https://medium.com/@chronicallywell,12 min read,Working Mother vs. Stay at Home Mother Is Really About Work vs. Home,COVID has exposed the artificial…,58,0 responses,https://medium.com/swlh/working-mother-vs-stay-at-home-mother-can-we-finally-retire-these-terms-e50ce991a952?source=collection_archive---------20-----------------------
15/07/2020,https://medium.com/@alexagriffith,8 min read,How Data Is Stored: Down the Rabbit Hole,-,272,0 responses,https://medium.com/swlh/how-data-is-stored-down-the-rabbit-hole-976a46347726?source=collection_archive---------21-----------------------
15/07/2020,https://medium.com/@nickfthilton,5 min read,"If Journalism Is Dying, It Only Has Itself to Blame",-,95,1 response,https://medium.com/swlh/if-journalism-is-dying-it-only-has-itself-to-blame-9401451f0138?source=collection_archive---------22-----------------------
15/07/2020,https://medium.com/@dalebrumfield,8 min read,Vanished,In 1942 a Navy blimp crash-landed on a San Francisco street. Empty.,283,2 responses,https://medium.com/swlh/vanished-d30bd87e3707?source=collection_archive---------23-----------------------
15/07/2020,https://medium.com/@TeraCrawler.io,4 min read,Scraping Etsy Data With Python and Beautiful Soup,-,74,0 responses,https://medium.com/swlh/scraping-etsy-data-with-python-and-beautiful-soup-e570f379b584?source=collection_archive---------24-----------------------
15/07/2020,https://medium.com/@jagan-singhh,5 min read,Data Cleaning With Pandas,-,111,0 responses,https://medium.com/swlh/data-cleaning-with-pandas-e9796d1ff9c9?source=collection_archive---------25-----------------------
15/07/2020,https://medium.com/@mattmunson,12 min read,Why CEOs Should Work 40-Hour Weeks,"If the data is correct, you are not doing yourself any favours by…",56,0 responses,https://medium.com/swlh/why-ceos-should-work-40-hour-weeks-ed924acb375d?source=collection_archive---------26-----------------------
15/07/2020,https://medium.com/@deekshithbellare,5 min read,Magical Record Removal Guide,Magical record is the most popular and widely used Coredata wrapper. It’s…,62,0 responses,https://medium.com/swlh/guide-to-remove-magical-record-971aac738200?source=collection_archive---------27-----------------------
15/07/2020,https://medium.com/@vidzhel,4 min read,Exploring Unit and Integration Testing in Redux Saga,-,66,0 responses,https://medium.com/swlh/exploring-unit-and-integration-testing-in-redux-saga-41af34d82033?source=collection_archive---------28-----------------------
15/07/2020,https://medium.com/@saneryee-studio,6 min read,How I Use Data Structures and Algorithms to Help My Wife Organize the Closet,Use computer science…,93,0 responses,https://medium.com/swlh/how-i-use-data-structures-and-algorithms-to-help-my-wife-organize-the-closet-4555fe929daf?source=collection_archive---------29-----------------------
15/07/2020,https://medium.com/@vinayak.sengupta,6 min read,"Customer Segmentation, Identifying the Profit Among the Loose Ends.",-,56,0 responses,https://medium.com/swlh/customer-segmentation-identifying-the-profit-among-the-loose-ends-6fe4d6279873?source=collection_archive---------30-----------------------
15/07/2020,https://medium.com/@akshgupta_70986,8 min read,Writing Aesthetic Python Code (PEP 8),-,73,0 responses,https://medium.com/swlh/writing-aesthetic-python-code-pep-8-e7f9c050d32d?source=collection_archive---------31-----------------------
15/07/2020,https://medium.com/@ntd251,6 min read,Traffic problems in Software Engineering and Daily Life,Software Engineering in different perspectives,285,0 responses,https://medium.com/swlh/cities-skylines-from-a-software-engineers-point-of-view-709d75229b86?source=collection_archive---------32-----------------------
15/07/2020,https://medium.com/@matheswaaran,3 min read,Authenticate using Apple on Web using Firebase Auth,-,271,1 response,https://medium.com/swlh/sign-in-with-apple-for-web-using-firebase-auth-js-b13eb7a0e104?source=collection_archive---------33-----------------------
15/07/2020,https://medium.com/@roamy,7 min read,Black Funding Matters,Top VC firms investing in black founders ranked by number of investments made.,57,1 response,https://medium.com/swlh/black-funding-matters-9900c08c60b8?source=collection_archive---------34-----------------------
15/07/2020,https://medium.com/@jeffmorhous,2 min read,How to Give Your ViewController an Activity Indicator,Keep users engaged when doing background tasks,52,0 responses,https://medium.com/swlh/how-to-give-your-viewcontroller-an-activity-indicator-4c3bfd84893e?source=collection_archive---------35-----------------------
15/07/2020,https://medium.com/@vakas0959,5 min read,Inductive Chain Learning With FizzBuzz,-,132,0 responses,https://medium.com/swlh/inductive-chain-learning-with-fizzbuzz-2b3c6af6ac5f?source=collection_archive---------36-----------------------
15/07/2020,https://medium.com/@nataliapecio,7 min read,Data Science With Python Based on Customer Reviews,-,106,0 responses,https://medium.com/swlh/data-science-with-python-based-on-customer-reviews-bdbee2c0adde?source=collection_archive---------37-----------------------
